
data;
param coverage_coeff := 1;
param distance_coeff := 1;
param nW := 5;
param nG := 10;
param min_coverage := 0.85;
param guard_cost := 
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
;
param coverage : 1 2 3 4 5 6 7 8 9 10 :=
1                 1 0 0 0 0 0 1 0 0 0
2                 1 1 0 0 0 1 0 1 0 0
3                 0 0 1 0 1 0 0 0 0 1 
4                 0 1 0 0 1 0 0 1 0 0
5                 0 1 0 1 0 1 0 0 0 0 
;
param distance : 1 2 3 4 5 6 7 8 9 10 :=
1                0 6 5 1 8 3 2 6 6 2
2                6 0 1 6 6 9 2 1 5 4
3                5 1 0 7 9 8 8 9 9 4
4                1 6 7 0 7 8 5 1 1 3
5                8 6 9 7 0 6 3 9 7 4
6                3 9 8 8 6 0 4 8 3 3
7                2 2 8 5 3 4 0 6 6 1
8                6 1 9 1 9 8 6 0 1 8
9                6 5 9 1 7 3 6 1 0 1
10               2 4 4 3 4 3 1 8 1 0
;

end;
